,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist
11,7,1,3,5,2,2,689,2,0,0,0,96094,627,93492,1974,0,10308,540,8429,1338,156,1,13786,4281,3294,17,17,12042,2486,9555,0,10370,7750,2,0,159,4,14,0,6,3,0,0,0,0,0,1
12,4,11,9,2,1,1,291,0,0,0,0,19357,365,14222,4769,8,9231,365,7204,1662,6430,3,20911,200,200,64,16,24637,10969,10841,2825,8901,8725,0,0,34,0,13,9,30,5,0,0,0,0,0,1
13,14,6,10,6,3,3,809,1,1,0,0,59686,477,49885,9323,0,18586,477,13312,4796,15505,4,31443,1499,428,109,42,38034,17223,17670,3140,15502,15270,0,1,89,4,18,7,35,24,1,0,0,1,1,0
14,3,3,6,2,1,1,557,0,0,0,0,140838,121592,12497,6748,0,16262,16108,153,0,701,1,7256,4961,4080,25,61,9677,3856,5491,329,11098,8825,1,0,201,10,16,1,9,0,0,0,0,0,0,0
15,2,5,8,0,1,0,431,0,0,0,0,140778,127194,11740,1844,0,13670,12933,736,0,859,1,6835,10580,3129,25,42,12705,2699,9399,606,11431,9375,1,0,206,15,15,1,11,2,0,0,0,0,0,1
16,2,6,5,2,1,1,397,0,0,0,0,63861,51878,7146,4836,0,8293,7578,535,179,0,0,6093,3460,485,11,5,11058,3264,7772,22,6415,5975,1,0,121,4,11,1,6,1,0,0,1,0,0,0
17,9,9,9,3,3,2,639,2,1,0,0,34017,435,26066,7515,0,11703,435,8009,3258,7039,3,13805,231,0,39,22,26415,12610,13191,613,11308,10925,0,0,44,0,13,7,17,8,0,0,0,0,0,0
18,7,2,13,5,1,1,720,0,0,0,0,49838,47488,1925,424,0,19646,19315,147,184,772,1,2205,3554,1124,64,33,10806,6801,3285,720,11272,9525,0,0,33,0,14,7,29,3,0,0,0,0,0,0
19,0,7,5,0,0,0,400,0,0,0,0,27824,23807,2965,1051,0,8126,5967,1107,1051,1923,5,5056,667,667,52,28,15017,8727,6253,36,6627,5810,0,0,30,0,12,5,15,7,0,0,0,0,0,0
0,0,3,10,0,0,0,837,0,0,0,0,16220,13999,1841,380,0,7017,6320,316,380,585,1,3115,365,0,33,38,7594,1321,5502,771,4992,4560,0,0,8,4,10,5,18,1,0,0,0,0,0,0
1,1,1,13,0,1,0,689,0,0,0,0,18775,4750,5850,8174,0,4460,2503,1533,424,3399,5,12534,885,71,31,28,13892,3188,10377,326,6183,4875,0,0,33,0,11,7,23,2,0,0,0,0,0,1
2,4,1,15,2,1,2,968,0,0,0,0,23928,6062,6888,10976,0,6078,3596,1808,673,2908,5,9207,1050,567,58,37,11559,3178,7737,644,8594,7775,1,0,55,0,12,7,25,13,0,0,0,0,0,0
3,2,9,13,0,1,0,492,0,0,0,0,138021,41224,89187,7609,0,12378,3369,8067,941,11983,1,24632,7050,213,40,22,38042,6557,30587,897,10954,10308,0,0,51,100,15,7,10,7,0,0,0,0,0,0
4,1,11,2,0,1,0,251,0,0,0,0,10815,2969,3106,4739,0,3557,1811,745,999,741,5,15021,0,0,30,21,20465,7210,11436,1817,4560,3875,0,0,25,0,9,10,20,4,0,0,0,0,0,0
5,3,9,19,2,1,1,461,0,0,0,0,159590,120732,28445,10412,75,18915,15071,2341,1502,9730,5,56774,6171,1531,17,69,37252,10071,21613,5568,12177,12050,0,0,69,108,17,0,4,3,0,0,0,0,0,1
6,2,8,18,0,1,0,370,0,0,0,0,38319,11952,11779,14586,0,10786,6762,2679,1344,4828,5,35780,876,440,82,61,31407,11385,15680,4342,10642,9700,0,0,61,0,16,14,40,5,0,0,0,0,0,0
7,4,8,11,0,1,0,366,0,0,0,0,40398,18144,9235,13018,0,8305,4547,2506,1252,4248,5,28272,518,0,59,29,28889,15549,12927,412,8365,7825,0,0,64,0,13,9,30,6,1,0,0,0,0,0
8,3,5,23,2,1,1,815,0,0,0,0,27977,4202,9930,13844,0,5766,2061,2985,719,4387,5,26593,946,330,81,27,26155,3813,20618,1724,8997,8275,0,0,59,0,14,15,42,6,0,0,0,0,0,0
9,1,9,11,0,1,0,464,0,0,0,0,29768,15556,5839,8372,0,9385,6557,1841,987,3095,5,22051,538,538,67,32,28881,10976,13368,4535,7487,5500,1,0,48,0,13,10,35,9,0,0,0,0,0,0
